,driver_gender,driver_race,is_arrested,search_conducted,stop_outcome,age_group
21932,female,hispanic,False,False,citation,10-30
21933,male,black,False,True,warning,10-30
21934,female,hispanic,False,False,citation,31-50
21935,male,hispanic,False,False,warning,10-30
21936,male,hispanic,False,False,citation,31-50
21937,male,other,False,False,warning,10-30
21938,male,hispanic,False,False,warning,51-100
21939,male,black,False,False,warning,51-100
21940,female,black,False,False,warning,10-30
21941,female,hispanic,False,False,warning,10-30
21942,male,hispanic,False,False,warning,10-30
21943,female,black,False,True,citation,31-50
21944,male,black,False,False,warning,31-50
21945,female,black,False,False,citation,10-30
21946,female,white,False,False,citation,31-50
21947,male,hispanic,False,False,citation,10-30
21948,female,black,False,True,citation,10-30
21949,male,black,False,True,warning,10-30
21950,female,asian/pacific islander,False,False,citation,31-50
21951,male,hispanic,False,False,citation,31-50
21952,male,hispanic,False,False,citation,10-30
21953,female,hispanic,False,False,citation,10-30
21954,female,other,False,False,citation,31-50
21955,male,other,False,True,citation,31-50
21956,male,hispanic,False,False,citation,31-50
21957,male,hispanic,False,False,citation,10-30
21958,male,black,False,True,warning,10-30
21959,male,white,False,True,citation,51-100
21960,male,hispanic,False,False,warning,10-30
21961,male,white,False,True,citation,51-100
21962,male,asian/pacific islander,False,False,citation,31-50
21963,female,hispanic,False,False,citation,10-30
21964,male,asian/pacific islander,False,False,citation,31-50
21965,male,hispanic,False,False,citation,10-30
21966,male,asian/pacific islander,False,False,citation,31-50
21967,male,hispanic,False,False,citation,10-30
21968,male,hispanic,False,True,warning,10-30
21969,male,black,False,True,citation,31-50
21970,male,hispanic,False,False,warning,10-30
21971,male,hispanic,False,False,warning,10-30
21972,female,hispanic,False,False,citation,31-50
21973,female,white,False,True,warning,10-30
21974,male,other,False,False,warning,31-50
21975,male,hispanic,False,False,warning,31-50
21976,female,black,False,False,citation,51-100
21977,male,hispanic,False,False,warning,51-100
21978,female,hispanic,False,False,warning,31-50
21979,female,white,False,False,citation,10-30
21980,male,hispanic,False,False,warning,10-30
21981,female,hispanic,False,False,warning,10-30
21982,male,asian/pacific islander,False,False,warning,31-50
21983,male,white,False,False,warning,31-50
21984,male,hispanic,False,False,warning,10-30
21985,female,hispanic,False,False,warning,31-50
21986,female,asian/pacific islander,False,False,warning,10-30
21987,male,hispanic,False,False,citation,31-50
21988,male,black,False,False,warning,51-100
21989,male,white,False,False,citation,51-100
21990,male,other,False,False,citation,31-50
21991,male,other,False,False,citation,10-30
21992,male,black,False,False,warning,31-50
21993,male,black,False,False,warning,31-50
21994,male,asian/pacific islander,False,False,warning,10-30
21995,female,black,False,False,warning,10-30
21996,male,hispanic,False,False,warning,31-50
21997,female,black,False,False,citation,31-50
21998,male,hispanic,False,False,citation,31-50
21999,female,asian/pacific islander,False,False,warning,10-30
22000,male,asian/pacific islander,False,False,warning,10-30
22001,female,black,False,False,warning,10-30
22002,male,white,True,True,arrest,31-50
22003,male,white,False,True,warning,51-100
22004,male,white,False,False,warning,10-30
22005,male,hispanic,False,False,warning,10-30
22006,male,black,False,False,warning,10-30
22007,male,black,False,False,citation,51-100
22008,male,hispanic,False,False,citation,51-100
22009,male,hispanic,False,False,citation,10-30
22010,male,black,False,False,warning,10-30
22011,female,black,False,True,citation,31-50
22012,female,black,False,False,citation,10-30
22013,female,hispanic,False,False,citation,31-50
22014,male,hispanic,False,False,citation,31-50
22015,male,hispanic,False,False,citation,31-50
22016,male,black,False,True,citation,51-100
22017,female,white,False,False,warning,31-50
22018,male,black,False,True,citation,31-50
22019,male,hispanic,False,False,warning,31-50
22020,female,hispanic,False,False,warning,10-30
22021,male,black,False,True,warning,31-50
22022,female,hispanic,False,False,warning,10-30
22023,female,hispanic,False,False,citation,10-30
22024,male,white,False,False,citation,51-100
22025,female,white,False,True,citation,51-100
22026,male,asian/pacific islander,False,False,warning,10-30
22027,female,asian/pacific islander,False,False,warning,10-30
22028,male,black,False,False,citation,31-50
22029,male,hispanic,False,False,warning,10-30
22030,male,black,False,False,warning,10-30
22031,male,white,False,False,citation,10-30
22032,male,hispanic,False,False,warning,31-50
22033,female,white,False,False,warning,31-50
22034,female,hispanic,False,False,citation,51-100
22035,female,white,False,False,warning,51-100
22036,male,hispanic,False,True,citation,31-50
22037,female,black,False,False,warning,31-50
22038,female,hispanic,False,False,citation,31-50
22039,male,white,False,True,warning,31-50
22040,male,hispanic,False,True,citation,10-30
22041,female,hispanic,False,True,citation,31-50
22042,female,hispanic,False,False,citation,31-50
22043,female,black,False,False,warning,31-50
22044,male,white,False,False,citation,51-100
22045,female,hispanic,False,False,citation,31-50
22046,male,hispanic,False,False,citation,31-50
22047,male,hispanic,False,False,citation,31-50
22048,male,hispanic,False,False,citation,31-50
22049,female,black,False,False,citation,31-50
22050,male,white,False,False,warning,31-50
22051,male,hispanic,False,False,warning,31-50
22052,male,hispanic,False,False,warning,10-30
22053,male,white,False,False,citation,10-30
22054,female,hispanic,False,False,warning,31-50
22055,female,hispanic,False,False,warning,31-50
22056,male,black,True,True,arrest,10-30
22057,male,hispanic,False,False,warning,10-30
22058,female,black,False,False,warning,31-50
22059,male,other,False,False,warning,10-30
22060,female,hispanic,False,False,citation,10-30
22061,male,asian/pacific islander,False,True,citation,10-30
22062,male,asian/pacific islander,False,False,warning,51-100
22063,male,white,False,False,warning,31-50
22064,female,white,False,False,warning,31-50
22065,male,hispanic,False,False,warning,10-30
22066,female,white,False,False,citation,10-30
22067,female,hispanic,False,False,citation,10-30
22068,male,white,False,False,warning,51-100
22069,male,hispanic,False,True,citation,10-30
22070,male,black,False,True,warning,31-50
22071,female,hispanic,False,False,warning,31-50
22072,female,other,False,False,warning,31-50
22073,male,hispanic,False,False,warning,10-30
22074,female,white,False,False,warning,10-30
22075,male,black,False,False,warning,31-50
22076,male,hispanic,False,False,warning,31-50
22077,male,black,False,False,warning,10-30
22078,male,hispanic,False,False,warning,10-30
22079,female,black,False,False,warning,10-30
22080,male,hispanic,False,False,warning,10-30
22081,female,black,False,False,warning,31-50
22082,male,hispanic,False,False,warning,10-30
22083,female,asian/pacific islander,False,False,warning,31-50
22084,male,other,False,False,warning,10-30
22085,female,black,False,False,citation,10-30
22086,female,white,False,False,warning,51-100
22087,female,hispanic,False,False,warning,10-30
22088,male,hispanic,False,True,warning,10-30
22089,male,black,False,False,warning,51-100
22090,male,black,False,False,warning,31-50
22091,male,hispanic,False,False,citation,10-30
22092,female,white,False,False,warning,31-50
22093,male,hispanic,False,True,warning,10-30
22094,female,black,False,False,citation,10-30
22095,male,white,False,False,citation,51-100
22096,male,hispanic,False,False,citation,31-50
22097,male,hispanic,False,False,citation,51-100
22098,female,hispanic,False,False,citation,10-30
22099,male,hispanic,False,False,citation,31-50
22100,male,white,False,False,citation,10-30
22101,male,black,False,False,citation,31-50
22102,female,hispanic,False,False,citation,31-50
22103,male,black,False,False,citation,51-100
22104,female,hispanic,False,False,citation,10-30
22105,male,hispanic,False,False,citation,10-30
22106,male,hispanic,False,False,citation,10-30
22107,male,hispanic,False,False,citation,10-30
22108,male,white,False,False,citation,51-100
22109,male,black,False,False,citation,31-50
22110,male,black,False,False,citation,10-30
22111,female,hispanic,False,False,citation,10-30
22112,male,hispanic,False,False,citation,10-30
22113,male,hispanic,False,False,citation,51-100
22114,male,white,False,False,citation,51-100
22115,male,other,False,False,citation,10-30
22116,male,white,False,False,citation,31-50
22117,male,black,False,False,citation,31-50
22118,female,hispanic,False,False,citation,10-30
22119,male,hispanic,False,False,citation,10-30
22120,female,white,False,False,citation,10-30
22121,male,other,False,False,citation,31-50
22122,male,black,False,False,citation,51-100
22123,male,hispanic,False,False,citation,31-50
22124,male,hispanic,False,False,citation,31-50
22125,female,hispanic,False,False,warning,10-30
